X,Y,GID,MHN,IDENTIFICA,RESOLUCION,DIRECCION,AUTORIA,FECHA,DECRETO
-56.2060763,-34.87016,66440847,B.I.D,Chamaerops humilis,Decreto Departamental Nº26728,Av. Agraciada 3397 (ex- embajada Argentina ex-quinta de Adolfo Berro),,,
-56.1980599,-34.8588192,66440848,B.I.D,Phoenix canariensis (rodal),Decreto Departamental Nº26728,Av Suarez 3781 (Colegio San Pablo ex Residencia Soneira),,,
-56.198147,-34.8585788,66440849,B.I.D,Arecastrum romanzoffianum 'Pindó' (alineación 23 ejemplares),Decreto Departamental Nº26728,Av Suarez 3781 (Colegio San Pablo ex Residencia Soneira),,,
-56.1911334,-34.9061615,66440850,B.I.D,Dracaena Draco 'Árbol del Dragón',Decreto Departamental Nº26728,Plaza Cagancha (Circunvalación Enrique Tarigo y 18 de Julio),,,
-56.0497055,-34.8795722,66440851,B.I.D,Taxodium distichum 'Ciprés calvo' (5 ejemplares),Decreto Departamental Nº28326,Lieja 7080 esquina Gral. Nariño (edificio de viviendas),,,
-56.0497354,-34.8791265,66440852,B.I.D,Liquidambar styraciflua 'Liquidambar',Decreto Departamental Nº28326,Lieja 7080 esquina Gral. Nariño (edificio de viviendas),,,
-56.0501358,-34.8791283,66440853,B.I.D,Ceiba speciosa ex Chorisia 'Palo borracho' (3 ejemplares),Decreto Departamental Nº28326,Lieja 7080 esquina Gral. Nariño (edificio de viviendas),,,
-56.1563905,-34.9131918,66440854,M.H.N,Phytolacca dioica 'Ombú',293/986,Bv. España y Carlos Berg (Rotonda),,,
-56.1492027,-34.9190444,66440855,B.I.D,Phytolacca dioica 'Ombú',Decreto Departamental Nº26728,Rambla República del Perú 719-725 y Solano Antuña (estación ANCAP),,,
-56.1549666,-34.8793027,66440856,B.I.D,Dracaena Draco 'Árbol del Dragón',Decreto Departamental N° 26728,Luis Alberto de Herrera y Monte Caseros,,,
-56.1162527,-34.8714944,66440857,B.I.D,Phytolacca dioica 'Ombú' (2 ejemplares),Decreto Departamental Nº26728,Camino Carrasco e Hipólito Irigoyen,,,
-56.207823,-34.8671406,66440858,B.I.D,Ceiba speciosa (ex Chorisia) 'Palo de borracho',Decreto Departamental N°26728,Av. Agraciada 3567 esq. Buschental (ex casa quinta de Adolfo Seré),,,
-56.2079183,-34.8672721,66440859,B.I.D,Araucaria bidwillii,Decreto Departamental N°26728,Av. Agraciada 3567 esq. Buschental (ex casa quinta de Adolfo Seré),,,
-56.2059722,-34.8641222,66440860,B.I.D,Ceiba speciosa 'Palo borracho' (ex Chorisia),Decreto Departamental Nº26728,Av. Buschental 3455,,,
-56.1971858,-34.8555611,66440861,B.I.D,Schinus molle L. 'Anacahuita' 'Aguaribay' 'Arbol de la Pimienta',Decreto Departamental Nº26728,Av Millán 3907 (laboratorios Spefar),,,
-56.1988984,-34.8488586,66440862,B.I.D,Agathis robusta 'Dammara',Decreto Departamental Nº26728,Avenida Millán 4175,,,
-56.1925333,-34.8593166,66440863,B.I.D,Phytolacca dioca 'Ombú',Decreto Departamental Nº26728,Florencio Escardó 1371,,,
-56.1991638,-34.8601166,66440864,B.I.D,Zelcova carpinofolia (2 ejemplares),Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.1988361,-34.8606222,66440865,B.I.D,Cupressus macrocarpa 'Ciprés lamberciana',Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.2011888,-34.8602444,66440866,B.I.D,Taxodium distichum (alineación 29 ejemplares),Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.2010907,-34.8579958,66440867,B.I.D,Ulmus parvifolia,Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.1994416,-34.8603944,66440868,B.I.D,Carya illinoiensis 'Pecán',Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
